,AKA Name,Facility Type,Risk,Address,Zip,Year,Inspection Type,Results,Violations,Latitude,Longitude
1692,BACCI PIZZA,Restaurant,Risk 1 (High),2101 W Touhy AVE ,60645.0,2022,Complaint,Fail,"1. PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES - Comments: THE PERSON IN CHARGE DURING THE INSPECTION DID NOT HAVE A CITY OF CHICAGO SANITATION CERTIFICATE. PRIORITY FOUNDATION VIOLATION. | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO PERSON IN CHARGE OF THE CITY OF CHICAGO FOOD SANITATION CERTIFICATE AND NO CERTIFICATE POSTED ON THE PREMISES. PRIORITY FOUNDATION VIOLATION 7-38-012. INSTRUCTED TO ENSURE THAT A PERSON IN CHARGE IS ALWAYS PRESENT WITH A CITY OF CHICAGO SANITATION CERTIFICATE. CITATION ISSUED. | 3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO EMPLOYEE HEALTH POLICY ON  PREMISES. PRIORITY FOUNDATION. CITATION ISSUED.7-38-010. INSTRUCTED TO KEEP EMPLOYEE HEALTH POLICY ON PREMISES AT ALL TIMES. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO PAPER TOWELS FOR PROPER DRYING OF HANDS AT THE DISH AND PIZZA PRE HAND SINKS. PRIORITY FOUNDATION VIOLATION 7-38-030(c). CITATION ISSUED. | 21. PROPER HOT HOLDING TEMPERATURES - Comments: OBSERVED COOKED PIZZAS HELD AT IMPROPER TEMPERATURE IN THE PREP AREA ON DISPLAY RACKS. CHEESE PIZZA AT 125F, SAUSAGE PIZZA AT 114F. NO TEMPERATURE LOGS ON SITE FOR TIME AS A MEANS OF CONTROL FOR HOT FOODS BEING HELD.ALL FOOD DISCARDED. PRIORITY VIOLATION 7-38-005 CITATION ISSUED. | 22. PROPER COLD HOLDING TEMPERATURES - Comments: OBSERVED TIME/TEMPERATURE CONTROL FOODS LOCATED IN THE PIZZA PREP COOLER BEING HELD AT IMPROPER TEMPERATURES. SHREDDED CHEESE 49.4F, HAM 49.6F, SAUSAGE 44.2, WITH AN AMBIENT TEMPERATURE OF 50F. ALL FOOD DISCARDED. PRIORITY VIOLATION 7-38-005. SEE VIOLATION #21 FOR CITATION. | 23. PROPER DATE MARKING AND DISPOSITION - Comments: OBSERVED TCS READY TO EAT PREPARED FOODS SUCH AS SOUPS, PASTA SAUCE, SLICED CHEESE NOT DATE LABELED WITH AN EXPIRATION DATE LONGER THAN SEVEN DAYS. NO LABELS ON ANY FOODS. CHEESE NOTED COVERED WITH BLUE MOLD. ALL FOODS DISCARDED. PRIORITY FOUNDATION VIOLATION 7-38-005. CITATION ISSUED. | 33. PROPER COOLING METHODS USED; ADEQUATE EQUIPMENT FOR TEMPERATURE CONTROL - Comments: NOTED THE PIZZA PREP COOLER AT AN IMPROPER TEMPERATURE OF 50F WITH FOOD SUCH AS HAM AT 46.6. COOLER TAGGED HELD FOR INSPECTION AND MUST NOT USE UNTIL REPAIRED, MAINTAINS A TEMPERATURE OF 41F, AND C.D.P.H CONTACTED FOR TAG REMOVAL. PRIORITY VIOLATION 7-38-005 CITATION ISSUED. | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: INTERNAL THERMOMETER INSIDE FRONT AND REAR PREP COOLERS BROKEN. INSTRUCTED TO REPLACE. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: OBSERVED PREPACKAGED ITEMS ON DISPLAY FOR SALE NOT PROPERLY LABELED. LABELS MUST INCLUDE BUSINESS NAME AND ADDRESS AND LIST OF INGREDIENTS. | 40. PERSONAL CLEANLINESS - Comments: MUST PROVIDE BEARD RESTRAINTS FOR FOOD HANDLERS WITH BEARDS. | 41. WIPING CLOTHS: PROPERLY USED & STORED - Comments:  INSTRUCTED TO KEEP SOILED WIPE CLOTHS USED FOR WIPING SURFACES IN A BUCKET WITH APPROPRIATE CHEMICAL SANITIZER AT ALL TIME WHEN NOT IN USE. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED CUTTING BOARDS IN THE PREPARATION AREAS THAT ARE IN POOR REPAIR WITH DEEP CUTS/GROOVES. INSTRUCTED TO RESURFACE OR REPLACE CUTTING BOARDS. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED UNUSED ONE DOOR COOLER ON THE COOK LINE NOTED DIRTY WITH FOOD DEBRIS. MUST KEEP CLEAN AND MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED DIRTY CAN OPENER LOCATED IN THE KITCHEN PREPARATION AREA. INSTRUCTED TO CLEAN AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED BROKEN BACKFLOW PREVENTION DEVICE ON THE SERVICE SINK LOCATED IN THE REAR KITCHEN PREPARATION AREA. INSTRUCTED TO REPAIR AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DUST ACCUMULATION IN THE OVERHEAD VENT LOCATED IN THE UNISEX BATHROOM. INSTRUCTED TO CLEAN AND MAINTAIN.",42.01210812,-87.68314563
1693,ROTI MODERN MEDITERRANEAN,Restaurant,Risk 1 (High),1012 W RANDOLPH ST ,60607.0,2022,Canvass Re-Inspection,Pass,,41.88442576,-87.65268989
1694,RICCARDO OSTERIA,Restaurant,Risk 1 (High),1023 W LAKE ST ,60607.0,2022,Canvass Re-Inspection,Pass,,41.88545575,-87.65315631
1698,SWEETGREEN,Restaurant,Risk 1 (High),150 N MICHIGAN AVE ,60601.0,2022,Canvass Re-Inspection,Pass,36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED NO INTERNAL THERMOMETERS WITHIN COLD HOLD UNITS. MUST INSTALL AND MAINTAIN.,41.88453096,-87.62460204
1701,POTBELLY SANDWICH WORKS LLC,Restaurant,Risk 1 (High),1 N LA SALLE ST ,60602.0,2022,Canvass Re-Inspection,Pass,,41.88199007,-87.63221288
1704,SUBWAY,Restaurant,Risk 1 (High),1300 N ASHLAND AVE ,60622.0,2022,Canvass,Pass,57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: OBSERVED NO FOOD HANDLER CERTIFICATE FOR THE EMPLOYEE ON SITE. INSTRUCTED TO PROVIDE AND MAINTAIN ON FILE.,41.90513176,-87.66768922
1705,6978 SOUL FOOD,Restaurant,Risk 1 (High),6978 W NORTH AVE ,60707.0,2022,Complaint Re-Inspection,Pass,49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: FOUND A THICK LAYER OF FOOD DEBRIS AND GREASE ON THE HOT/COLD HANDLES AND THE BASE OF THE SPRAYER ARM IN THE DISH AREA. INSTRUCTED TO DETAIL CLEAN AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: FOUND A LEAK COMING FROM THE DUCT TAPED PORTION OF THE SPRAYER ARM IN THE DISH AREA. MUST REPAIR.,41.90906215,-87.80024471
1707,KONG DOG,Restaurant,Risk 2 (Medium),2026 S CLARK ST ,60616.0,2022,License,Pass,,41.8545508,-87.63028972
1708,NEW HONG KONG BUFFET,Restaurant,Risk 1 (High),6249 N MCCORMICK RD ,60659.0,2022,Short Form Complaint,Pass,,41.9954406,-87.71291738
1711,STAN'S DONUTS & COFFEE,Restaurant,Risk 2 (Medium),181 N MICHIGAN AVE ,60601.0,2022,Complaint Re-Inspection,Pass,,41.88525978,-87.62434106
1712,DOCK'S/JAMAICAN JERK,Restaurant,Risk 1 (High),11710 S MARSHFIELD AVE ,60643.0,2022,License Re-Inspection,Pass,58. ALLERGEN TRAINING AS REQUIRED - Comments: OBSERVED NO VALID ALLERGEN CERTIFICATE ON SITE. INSTRUCTED PERSON IN CHARGE TO PROVIDE AND MAINTAIN ON-SITE,41.68096172,-87.6626006
1713,POTBELLY SANDWICH SHOP,Restaurant,Risk 1 (High),900 W NORTH AVE ,60642.0,2022,Canvass Re-Inspection,Pass,,41.91098174,-87.65120931
1714,RUBY'S FAST FOOD,Restaurant,Risk 1 (High),4551-4553 N PULASKI RD ,60630.0,2022,License Re-Inspection,Pass,,41.96392783,-87.72776333
1723,SUBWAY,Restaurant,Risk 1 (High),3601 N WESTERN AVE ,60618.0,2022,Canvass Re-Inspection,Pass,57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: 2-102.13--OBSERVED A FOOD HANDLING EMPLOYEE WITHOUT A FOOD HANDLER CERTIFICATE.INSTRUCTED TO SHOW PROOF OF TRAINING FOR ALL FOOD HANDLING EMPLOYEES. | 58. ALLERGEN TRAINING AS REQUIRED - Comments: 2-102.13--CERTIFIED FOOD MANAGER ON DUTY WITH NO ALLERGEN TRAINING CERTIFICATE.ALLERGEN TRAINING IS REQUIRED FOR ALL EMPLOYEES THAT HAVE A CITY OF CHICAGO FOOD SANITATION CERTIFICATE.,41.9468234,-87.68811263
1724,TIMOTHY O'TOOLE'S,Restaurant,Risk 1 (High),622 N FAIRBANKS CT ,60611.0,2022,Canvass,Pass,"43. IN-USE UTENSILS: PROPERLY STORED - Comments: Knives and spatulas in-use are held in a sanitized solution, instructed to keep in a dry clean container/surface. | 45. SINGLE-USE/SINGLE-SERVICE ARTICLES: PROPERLY STORED & USED - Comments: food containers stored facing up, instructed to invert or cover to prevent dust collection.",41.8933654,-87.62042206
1725,EL GRAN BURRITO EXPRESS #3,Restaurant,Risk 1 (High),334 N LARAMIE AVE ,60644.0,2022,Canvass,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED OPENING AROUND REAR EXIT DOOR LOCK. (BREAK IN) INSTRUCTED TO REPAIR/SEAL AS A MEANS OF PREVENTING POSSBIBLE INSECT HARBORING.  | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: UNABLE TO LOCATE BACLFLOW DEVICE ON THE ICE MACHINE.  INSTRUCTED TO PROVIDE AND MAINTAIN. ",41.88671962,-87.75544021
1726,POPYE'S #867,Restaurant,Risk 1 (High),1356 W 47TH ST ,60609.0,2022,Complaint,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO CLEAN AND MAINTAIN THE FOLLOWING:  FLOORS UNDER AND AROUND EQUIPMENT AND STORAGE SHELVES, ALL FLOOR DRAINS UNDERNEATH SINKS AND OTHER EQUIPMENT, WALLS INSIDE OF WALK-IN COOLER.  ",41.80878025,-87.65995686
1727,EMPLOYEES CAFETERIA,Restaurant,Risk 1 (High),320 N DEARBORN ST ,60654.0,2022,Canvass,Pass,,41.88807038,-87.62969226
1730,CHINA PALACE,Restaurant,Risk 1 (High),1129 W THORNDALE AVE ,60660.0,2022,Complaint Re-Inspection,Pass,,41.98992503,-87.65943958
1733,LITTLE WOK,Restaurant,Risk 1 (High),3144 N BROADWAY ,60657.0,2022,Complaint,Fail,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: NO WRITTEN EMPLOYEE HEALTH POLICY ON SITE FOR SEVERAL EMPLOYEES WORKING IN THE FACILITY AT THE TIME OF INSPECTION. MUST PROVIDE A VERIFIED EMPLOYEE HEALTH POLICY FOR ALL EMPLOYEES AND MAKE AVAILABLE DURING EACH HEALTH INSPECTION. PRIORITY FOUNDATION VIOLATION 7-38-010 CITATION ISSUED. | 6. PROPER EATING, TASTING, DRINKING, OR TOBACCO USE - Comments: OBSERVED SEVERAL EMPLOYEES EATING THROUGHOUT THE KITCHEN AND DISHWASHING AREA. INSTRUCTED ALL EMPLOYEE MEALS MUST BE CONSUMED IN THE DESIGNATED DINING AREA. | 23. PROPER DATE MARKING AND DISPOSITION - Comments: OBSERVED APPROXIMATELY 300 LBS COOKED, READY TO EAT TCS FOODS SUCH AS COOKED CHICKEN, ASSORTED COOKED MEATS, SHRIMP WITH NO LABELS OF ANY KIND, NO EXPIRATION DATES, AND NO WRITTEN POLICY/PROCEDURE FOR IDENTIFYING THE EXPIRATION OF SUCH FOODS. ALL FOODS DISCARDED. REVIEWED ALL PREPARED TCS FOODS MUST BE LABELED WITH AN EXPIRATION DATE NO LONGER THAN 7 DAYS. PRIORITY FOUNDATION VIOLATION 7-38-005 CITATION ISSUED. | 35. APPROVED THAWING METHODS USED - Comments: OBSERVED FROZEN FISH BEING IMPROPERLY THAWED IN STANDING WATER. REVIEWED ALL METHODS OF THAWING FROZEN FOODS.  | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: NO METAL STEM THERMOMETER ON SITE TO MEASURE HOT AND COLD FOOD TEMPERATURES. MUST PROVIDE. PRIORITY FOUNDATION VIOLATION 7-38-005 CITATION ISSUED. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: ALL BULK FOOD CONTAINERS INCLUDING BULK SPICE CONTAINERS MUST BE PROPERLY LABELED WITH THE PRODUCT COMMON NAME. | 41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: ALL PREP AREA WIPING CLOTHS MUST BE HELD IN CONTAINERS WITH A SANITIZING SOLUTION BETWEEN USE. | 43. IN-USE UTENSILS: PROPERLY STORED - Comments: ICE SCOOP MUST BE STORED IN A CLEAN CONTAINER. NOT ON THE TOP OF THE ICE MACHINE. | 48. WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: THE INTERIOR OF THE DISHWASHING MACHINE IS EXTREMELY DIRTY WITH SLIME SUBSTANCE BUILD-UP AND THE EXTERIOR OF THE MACHINE WITH DIRT AND DEBRIS. INSTRUCTED TO CLEAN AND MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: THE FOLLOWING EQUIPMENT WAS FOUND DIRTY: INTERIOR/EXTERIOR ALL MICROWAVE OVENS.EXTERIOR/INTERIOR OF ALL KITCHEN FREEZERS AND COOLERS WITH DIRT AND FOOD DEBRIS, ESPECIALLY THE DOOR HANDLES AND INSIDE DOOR RUBBER GASKETS. EXTERIOR OF ALL COOKS LINE EQUIPMENT WITH EXCESSIVE GREASE AND FOOD DEBRIS. MUST CLEAN AND MAINTAIN ALL. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: EXTREMELY DIRTY INTERIOR HAND SINK AT THE FRONT SUSHI PREP AREA. SINK WITH BLACK SLIME SUBSTANCE. MUST CLEAN AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: DIRTY HAND WASH WASHBOWLS INSIDE BOTH WASHROOMS. MUST CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: SOILED MOP HEADS IMPROPERLY STORED INSIDE THE MOP SINK. WET/SOILED MOPS MUST BE STORED INVERTED AT THE UTILITY SERVICE SINK. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: NOTED EXTREMELY DIRTY/DUSTY FLOOR FANS THROUGHOUT THE KITCHEN. MUST CLEAN AND MAINTAIN. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: NO PROOF OF FOOD HANDLER TRAINING OR CERTIFICATES FOR SEVERAL EMPLOYEES ON SITE DURING THE INSPECTION. MUST PROVIDE. | 58. ALLERGEN TRAINING AS REQUIRED - Comments: NO PROOF OF ALLERGEN TRAINING OR CERTIFICATES FOR THE ABOVE CITY OF CHICAGO CERTIFIED FOOD MANAGERS. MUST PROVIDE. | 60. PREVIOUS CORE VIOLATION CORRECTED - Comments: PREVIOUS CORE VIOLATIONS FROM REPORT #2510386 ON 5-26-21 WERE NOT CORRECTED. #45- 4-903.11(A; C)-- ALL STORED ITEMS THROUGHOUT THE DISHWASHING AREA IN THE KITCHEN MUST BE ELEVATED FROM THE FLOORS.#47- 4-101.11(B, C, D, E)-- MUST NOT USE PLASTIC GROCERY BAGS OR CARDBOARD BOXES AS FOOD CONTAINERS. FOOD CONTAINERS MUST BE WASHABLE, FOOD-GRADE MATERIAL.#49-4-602.13- CLEAN DISH STORAGE SHELVING IN THE DINING ROOM/SUSHI PREP IN POOR REPAIR. NOTED CHIPPING AND PEELING PRESSED WOOD. MUST REPLACE/REPAIR TO BE SMOOTH AND CLEANABLE.----MUST NOT USE CLOTH TOWELS, CARDBOARD, OR TIN FOIL AS LINER FOR ANY SHELVING OR COOKING EQUIPMENT THROUGHOUT. 4-601.11(B)--EXCESSIVE GREASE ON COOKS LINE EQUIPMENT, METAL RACK SHELVING, AND FOOD CART. MUST CLEAN AND MAINTAIN ALL.#55-: 6-201.11-- FLOORS THROUGHOUT THE FACILITY, THROUGHOUT THE DISHWASHING AREA, COOKS LINE, WALK-IN COOLER, ALL FLOOR DRAINS THROUGHOUT NOTED DIRTY WITH DIRT, FOOD DEBRIS, AND GREASE. MUST CLEAN AND MAINTAIN ALL. PRIORITY FOUNDATION VIOLATION 7-42-090 CITATION ISSUED. | 64. MISCELLANEOUS / PUBLIC HEALTH ORDERS - Comments: OBSERVED SEVERAL FOOD HANDLERS WORKING IN THE KITCHEN WITHOUT FACE MASKS OR FACE COVERINGS. VIOLATION OF RULES AND ORDER 2-112-340 CITATION ISSUED. | 64. MISCELLANEOUS / PUBLIC HEALTH ORDERS - Comments: NO RECORDS OF EMPLOYEE VACCINATION STATUS OR WEEKLY TESTING. | 64. MISCELLANEOUS / PUBLIC HEALTH ORDERS - Comments: NO POSTING OF MASK REQUIREMENT SIGNAGE FOR BUSINESS AT ENTRANCE AND INSIDE ESTABLISHMENT.MUST PROVIDE. | 64. MISCELLANEOUS / PUBLIC HEALTH ORDERS - Comments: NO WRITTEN PROTOCOL FOR IMPLEMENTING AND ENFORCING THE ORDER. MUST PROVIDE.",41.93905167,-87.64451266
1735,NEW SUNNY SUB & FISH INC,Restaurant,Risk 2 (Medium),380 E 71ST ST ,60619.0,2022,Complaint Re-Inspection,Pass,,41.76581938,-87.61534677
1736,ROCK BOTTOM,Restaurant,Risk 1 (High),1 W GRAND AVE ,60654.0,2022,License Re-Inspection,Pass,,41.89155904,-87.62813938
1737,CHICAGO PHILLY STOP,Restaurant,Risk 1 (High),1600 W Lake ST ,60612.0,2022,Canvass Re-Inspection,Pass,,41.88543499,-87.66708806
1739,ROSATI'S PIZZA,Restaurant,Risk 1 (High),953 W DIVERSEY PKWY ,60614.0,2022,Canvass Re-Inspection,Pass,,41.93253445,-87.65354073
1741,WATERHOUSE TAVERN AND GRILL,Restaurant,Risk 1 (High),3407 N PAULINA ST ,60657.0,2022,Canvass,Pass,"43. IN-USE UTENSILS: PROPERLY STORED - Comments: NOTED SERVING PLATES ON SHELVES AT THE KITCHEN PREP AREA NOT PROPERLY STORED. INSTRUCTED TO INVERT ALL SERVING PLATEs TO PREVENT DUST ACCUMULATION. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO CLEAN CEILING AND WALLS INSIDE THE HEATING ROOM/DRY STORAGE AREA AND INSDE THE BEER WALK IN COOLER.",41.94357337,-87.67105876
1742,POTBELLY SANDWICH WORKS,Restaurant,Risk 1 (High),200 S MICHIGAN AVE ,60604.0,2022,Canvass,Pass,,41.87948933,-87.62449812
1744,NEXT RESTAURANT/AVIARY,Restaurant,Risk 1 (High),953-955 W FULTON MARKET ,60607.0,2022,Canvass,Pass,51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED 3-COMPARTMENT SINK AT BAR LOCATED AT AVIARY BASEMENT WITHOUT A HAND WASHING SINK. MUST INSTALL CUSTOM STAINLESS STEAL COVER OVER THE TWO COMPARTMENT SINKS. SINK WILL THEN BE USED FOR HAND WASHING. ,41.88663283,-87.65193719
1745,SMALL CHEVAL,Restaurant,Risk 2 (Medium),1732 N MILWAUKEE AVE ,60647.0,2022,Complaint Re-Inspection,Pass,,41.91273042,-87.68132703
1754,SUPER STAR & GYROS # 2,Restaurant,Risk 1 (High),1157-59 W 47TH ST ,60609.0,2022,Canvass Re-Inspection,Pass,,41.80862763,-87.65504091
